Time:6,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Event Id,Event Date,Event Duration
193.2089843750,193.7089843750,0.0322613838,0.0363845979,0.0686479750,0.1340944247,0.0063811033,0.3231251215,,,
193.3085937500,193.8085937500,0.0427999423,0.0406127371,0.0820805324,0.1333089827,0.0060057563,0.3443663092,,,
193.4082031250,193.9082031250,0.0610799743,0.0507712773,0.0865890256,0.1098071613,0.0077051662,0.3367012225,,,
193.5078125000,194.0078125000,0.0837316791,0.0652195103,0.0868140126,0.0737589409,0.0115295738,0.2981889945,,,
193.6074218750,194.1074218750,0.1039460601,0.0769647127,0.0944089093,0.0434342601,0.0180049364,0.2358721205,,,
193.7070312500,194.2070312500,0.1115529521,0.0812229398,0.1086455666,0.0272529077,0.0278917795,0.1727436471,,,
193.8066406250,194.3066406250,0.1013021341,0.0769453593,0.1269719169,0.0223329630,0.0376771557,0.1306020313,,,
193.9062500000,194.4062500000,0.0787535989,0.0646677335,0.1490431211,0.0228485099,0.0429688978,0.1168794615,,,
194.0058593750,194.5058593750,0.0553030026,0.0486423007,0.1653649966,0.0232703547,0.0435863488,0.1259485899,,,
194.1054687500,194.6054687500,0.0382290513,0.0366203290,0.1661198822,0.0202104276,0.0399744812,0.1480816324,,,
194.2050781250,194.7050781250,0.0288042020,0.0328812510,0.1548098852,0.0144196337,0.0315732294,0.1693767752,,,
194.3046875000,194.8046875000,0.0249865345,0.0366785304,0.1378710393,0.0080182794,0.0211890683,0.1784724942,,,
194.4042968750,194.9042968750,0.0244552530,0.0466470045,0.1151005036,0.0041446438,0.0135766274,0.1782094811,,,
194.5039062500,195.0039062500,0.0263915326,0.0585594280,0.0882038739,0.0052269363,0.0094826779,0.1900724706,,,
194.6035156250,195.1035156250,0.0311972008,0.0660179789,0.0668725211,0.0108319290,0.0080103793,0.2383811839,,,
194.7031250000,195.2031250000,0.0375575146,0.0661341390,0.0583169261,0.0166273871,0.0109595423,0.3155594685,,,
194.8027343750,195.3027343750,0.0409773131,0.0605043270,0.0614012094,0.0195038101,0.0222353404,0.3960768842,,,
194.9023437500,195.4023437500,0.0403763484,0.0506732946,0.0706386768,0.0207565475,0.0391048463,0.4676071918,,,
195.0019531250,195.5019531250,0.0392797263,0.0393460152,0.0785300586,0.0221990800,0.0526905871,0.5209773838,,,
195.1015625000,195.6015625000,0.0422526161,0.0306905492,0.0746129436,0.0243915457,0.0573838320,0.5368149488,,,
195.2011718750,195.7011718750,0.0536883049,0.0255577257,0.0568522080,0.0296328752,0.0539603705,0.5064338263,,,
195.3007812500,195.8007812500,0.0757960508,0.0221386665,0.0336022727,0.0380425589,0.0440478900,0.4398268923,,,
195.4003906250,195.9003906250,0.1042763764,0.0185399482,0.0155983552,0.0455770432,0.0304138261,0.3458757374,,,
195.5000000000,196.0000000000,0.1262718082,0.0137105719,0.0067045263,0.0476575670,0.0183297696,0.2380186577,,,
195.5996093750,196.0996093750,0.1295452694,0.0094081293,0.0048300601,0.0428965372,0.0123965176,0.1580370716,,,
195.6992187500,196.1992187500,0.1134200555,0.0105068163,0.0050970350,0.0328884275,0.0144282519,0.1512909006,,,
195.7988281250,196.2988281250,0.0858310205,0.0187468949,0.0052564010,0.0217384866,0.0226198617,0.2076717673,,,
195.8984375000,196.3984375000,0.0557611243,0.0303259022,0.0081454759,0.0127805325,0.0351611377,0.2850066960,,,
195.9980468750,196.4980468750,0.0329472982,0.0412283431,0.0166669293,0.0072157528,0.0510120265,0.3545749945,,,
196.0976562500,196.5976562500,0.0238143217,0.0494968116,0.0277666144,0.0047972683,0.0669051508,0.3877888859,,,
196.1972656250,196.6972656250,0.0243047418,0.0518472107,0.0355718833,0.0062113988,0.0741337875,0.3713804187,,,
196.2968750000,196.7968750000,0.0272413134,0.0463414952,0.0414733554,0.0123587935,0.0682781660,0.3168742283,,,
196.3964843750,196.8964843750,0.0313817153,0.0366628129,0.0491992435,0.0218427087,0.0544089467,0.2442105235,,,
225.9218750000,226.4218750000,0.0333824693,0.0356232255,0.0153794473,0.0829832981,0.0132985288,0.2011773747,,,
226.0214843750,226.5214843750,0.0352629100,0.0320842712,0.0153435705,0.1163652856,0.0145373179,0.1498538490,,,
226.1210937500,226.6210937500,0.0331719251,0.0321910211,0.0169558538,0.1394879337,0.0191876943,0.1290256533,,,
226.2207031250,226.7207031250,0.0258511592,0.0367742629,0.0212511902,0.1434666949,0.0238269334,0.1291634170,,,
226.3203125000,226.8203125000,0.0156422428,0.0452871622,0.0315573402,0.1260230262,0.0274612408,0.1316042689,,,
226.4199218750,226.9199218750,0.0076272282,0.0538420373,0.0465583739,0.0935444743,0.0317083168,0.1228010228,,,
226.5195312500,227.0195312500,0.0049477495,0.0580441208,0.0613575740,0.0586741143,0.0360611249,0.0994519274,,,
226.6191406250,227.1191406250,0.0112139422,0.0570755035,0.0698221174,0.0358770018,0.0382828578,0.0721261142,,,
226.7187500000,227.2187500000,0.0313920196,0.0510227925,0.0671263425,0.0317868049,0.0391550492,0.0680274789,,,
226.8183593750,227.3183593750,0.0610135379,0.0407207925,0.0589055948,0.0387278732,0.0392685354,0.1088412382,,,
226.9179687500,227.4179687500,0.0874972501,0.0304691733,0.0543847330,0.0449331473,0.0370177681,0.1841879138,,,
227.0175781250,227.5175781250,0.1024827676,0.0231795825,0.0602783114,0.0450922073,0.0325469687,0.2583131937,,,
